Credit Name,State,sale_year,Underlying Moodys Rating,Fiscal Year End,Cash & Short-Term Investments (GF),Deferred Rev (GF),Total Liabilities (GF),Unassigned Fund Balance (GF),Total Fund Balance (GF),General Fund Rev,General Fund Exp,Total Taxable Assessed Value,Total Assessed Value,Current Debt Service (all Gov funds),Current Portion GO Debt (Gov),Current Portion Long-Term Debt (Gov),Short-Term Debt (Gov),Long-Term Debt (Gov),"Invested in Capital Assets, net of related debt (Gov)",Total Restricted Net Assets (Gov),Unrestricted Net Assets (Gov),Total Net Assets (Gov),Operating Grants & Contributions (Gov),Total Rev (Gov),Total Exp (Gov),Revenue Over Expense (Gov),Change in Net Assets (Gov),Total Pension Liability (EOY),Total Pension Expense,Population,Total Primary Government Expenses,moodys_ratings_num,short_run_pos,liquidity,net_assets_prev_year,net_asset_growth,operating_margin,own_source_rev,debt_burden,coverage,net_invest_prev_year,cap_asset_condition
Corvallis,OR,2001,Aa3,2015-06-30,12288,0.0,6197,6179.0,10301,44346.0,38240.0,4381368.0,4381368.0,4100.0,1990.0,2194.0,0.0,37506.0,150544.0,16340.0,-31242.0,135642.0,9388.0,63516.0,53896.0,9620.0,14611.0,0.0,0.0,55569,73716.0,9,0.13933612952690208,1.9828949491689527,131166.0,0.11139319640760563,-0.15145790037155993,0.14780527741041627,0.6749446633914593,0.07607243580228588,155992.0,0.9650751320580543
Corvallis,OR,2001,Aa3,2018-06-30,17693,0.0,6462,11658.0,16178,50439.0,44717.0,4910822.0,4910822.0,5011.0,2402.0,2627.0,0.0,30039.0,158362.0,18133.0,-52782.0,123713.0,10893.0,70130.0,69746.0,384.0,5847.0,0.0,0.0,58628,93222.0,9,0.23113067269374887,2.73800680903745,135642.0,0.04310611757420268,-0.005475545415656638,0.1553258234706973,0.5123661049327967,0.07184641413127635,150544.0,1.0519316611754703
Corvallis,OR,2001,Aa3,2019-06-30,18776,0.0,4936,14436.0,17349,54142.0,49324.0,5155069.0,5155069.0,5152.0,1312.0,1542.0,0.0,28497.0,161703.0,21517.0,-51591.0,131629.0,11557.0,75264.0,75436.0,-172.0,7917.0,0.0,0.0,59009,99937.0,9,0.266632189427801,3.8038897893030796,123713.0,0.06399489140187369,0.0022852891156462584,0.15355282738095238,0.48292633327119594,0.06829630415186383,158362.0,1.0210972329220394
Corvallis,OR,2001,Aa3,2016-06-30,14951,0.0,6084,9426.0,13155,45785.0,40033.0,4490591.0,4490591.0,4674.0,2130.0,2340.0,0.0,35166.0,152752.0,15797.0,-40269.0,128280.0,9768.0,61593.0,75760.0,-14167.0,-7362.0,0.0,0.0,56444,99547.0,9,0.20587528666593863,2.457429322813938,131629.0,-0.05592992425681271,0.23000990372282565,0.158589450099849,0.623024590744809,0.0616948257655755,161703.0,0.9446454302022844
Corvallis,OR,2001,Aa3,2020-06-30,23889,0.0,5395,17033.0,23043,59454.0,49282.0,5476788.0,5476788.0,4084.0,1391.0,1631.0,0.0,26866.0,172532.0,19780.0,-46260.0,146052.0,12577.0,80560.0,76190.0,4370.0,14423.0,0.0,0.0,58957,100437.0,9,0.28649039593635417,4.427988878591289,128280.0,0.11243373869660118,-0.054245283018867926,0.1561196623634558,0.455688043828553,0.05360283501771886,152752.0,1.1294909395621662
Corvallis,OR,2001,Aa3,2021-06-30,25122,0.0,6034,15907.0,23686,59838.0,53778.0,5619753.0,5630940.0,4239.0,1470.0,1470.0,0.0,25396.0,181994.0,22938.0,-43429.0,161503.0,20095.0,87858.0,85824.0,2034.0,15450.0,0.0,0.0,59922,114206.0,9,0.26583441959958554,4.16340735830295,146052.0,0.10578424122915125,-0.02315099364884245,0.22872134580800838,0.4238176295851273,0.049391778523489936,172532.0,1.0548420003245775
Edmonds,WA,2003,Aa3,2018-12-31,14590,4568.0,6658,16284.0,19068,42012.0,39532.0,9107285.0,9897190.0,1015.0,739.0,943.0,0.0,5836.0,73067.0,14521.0,15827.0,103415.0,562.0,52919.0,47404.0,5515.0,8711.0,723.0,35.0,42670,69753.0,9,0.3876035418451871,6.980861244019139,105825.0,0.08231514292463973,-0.10421587709518321,0.010620004157297,0.13677056479962502,0.02141169521559362,76234.0,0.9584568565207126
Edmonds,WA,2003,Aa3,2019-12-31,14834,4200.0,6501,15913.0,19051,42263.0,41212.0,10223134.0,11914685.0,1100.0,851.0,923.0,0.0,8733.0,72351.0,20538.0,10186.0,103075.0,633.0,52020.0,54168.0,-2148.0,-340.0,643.0,116.0,42609,78776.0,9,0.37652319996214184,6.446762277270752,103415.0,-0.003287724217956776,0.04129181084198385,0.012168396770472895,0.20495669928888263,0.02030719243833998,73067.0,0.9902007746315026
Ogden,UT,2003,A1,2016-06-30,13180,0.0,24679,4856.0,12181,53972.0,58202.0,4019197.0,4019197.0,7140.0,0.0,4972.0,957.0,33198.0,158504.0,2117.0,-4288.0,156333.0,2902.0,77015.0,76760.0,255.0,9589.0,74199.0,2653.0,85313,120061.0,8,0.08997257837397168,0.5340572956764861,146744.0,0.06534509077032111,-0.003311043303252613,0.037680971239368956,0.38913178530821796,0.09301719645648776,144292.0,1.0984947190419427
Ogden,UT,2003,A1,2018-06-30,18926,0.0,19310,8611.0,19375,56875.0,57722.0,4691630.0,4691630.0,4316.0,0.0,3901.0,2497.0,25939.0,178130.0,3373.0,9309.0,190812.0,10750.0,76436.0,78577.0,-2141.0,16272.0,85850.0,4831.0,87033,129558.0,8,0.1514021978021978,0.9801139306059037,156333.0,0.10408550977720635,0.0280103616097127,0.1406405358731488,0.2980363770064228,0.05492701426626112,158504.0,1.1238202190480997
Ogden,UT,2003,A1,2019-06-30,20304,0.0,21772,11184.0,19914,61229.0,63472.0,5270729.0,5270729.0,4477.0,0.0,3478.0,3252.0,22520.0,182328.0,4426.0,7244.0,193998.0,9902.0,76981.0,82666.0,-5685.0,2439.0,86133.0,4755.0,87126,133573.0,8,0.182658544153914,0.9325739481903362,190812.0,0.012782214955034274,0.07384939140826957,0.12862914225588132,0.2584762298280651,0.05415769482011952,178130.0,1.0235670577667995
Ogden,UT,2003,A1,2017-06-30,13202,0.0,17816,7282.0,16360,56581.0,55945.0,4326061.0,4326061.0,5296.0,0.0,4248.0,2357.0,29839.0,172263.0,2414.0,514.0,175191.0,2553.0,76468.0,80141.0,-3673.0,18858.0,78617.0,3400.0,86755,126197.0,8,0.12870044714656864,0.7410193084867535,193998.0,0.097207187702966,0.04803316419940367,0.03338651462049485,0.34394559391389545,0.06608352778228373,182328.0,0.9447972884033171
Ogden,UT,2003,A1,2020-06-30,29342,0.0,23044,14468.0,30258,67458.0,61613.0,5838426.0,5838426.0,4144.0,0.0,3867.0,2119.0,26173.0,179209.0,8869.0,20502.0,208580.0,14352.0,82840.0,78499.0,4341.0,14583.0,88417.0,2787.0,87596,128305.0,8,0.21447419134869103,1.2733032459642424,175191.0,0.08324057742692262,-0.05240222114920328,0.17324963785610817,0.29879218229142884,0.05279048140740646,172263.0,1.0403220656786425
Ogden,UT,2003,A1,2021-06-30,47209,0.0,36184,17802.0,33648,82296.0,78188.0,6444364.0,6444364.0,4699.0,0.0,3802.0,820.0,23174.0,186662.0,2725.0,40967.0,230354.0,24044.0,89009.0,87749.0,1260.0,21773.0,88366.0,-968.0,87321,140613.0,8,0.2163167104111986,1.3046926818483306,208580.0,0.10438680602167034,-0.014155871878124685,0.27012998685526185,0.26538862358424664,0.053550467811598994,179209.0,1.0415883130869543
Beaumont,TX,2004,A1,2015-09-30,25404,1.0,13094,32752.0,33492,105840.0,109738.0,6891134.0,7725976.0,17227.0,6141.0,7366.0,0.0,225208.0,258945.0,83618.0,-92171.0,250392.0,14110.0,142237.0,158376.0,-16139.0,9080.0,570615.0,13900.0,117751,202826.0,8,0.30944822373393804,1.9402734285496066,205158.0,0.04425857144249798,0.11346555396978283,0.09920062993454587,1.9125782371274977,0.1087727938576552,267238.0,0.9689677366242825
Beaumont,TX,2004,A1,2020-09-30,33124,0.0,20444,49663.0,50566,119018.0,124739.0,7669216.0,9243835.0,17150.0,9413.0,9949.0,0.0,195126.0,259725.0,29780.0,-130649.0,158856.0,54164.0,194987.0,228680.0,-33693.0,-17632.0,817583.0,37089.0,116421,277209.0,8,0.41727301752676066,1.62023087458423,250392.0,-0.07041758522636506,0.17279613512695718,0.2777826214055296,1.6760378282268662,0.07499562707713836,258945.0,1.0030122226727682
Beaumont,TX,2004,A1,2017-09-30,23112,0.0,12326,35382.0,35966,109177.0,115531.0,7209192.0,8034834.0,16675.0,7931.0,9771.0,0.0,212651.0,263389.0,42331.0,-81195.0,224525.0,21895.0,154886.0,194959.0,-40073.0,-23827.0,647970.0,27120.0,118628,245141.0,8,0.3240792474605457,1.8750608469901022,158856.0,-0.14999118698695674,0.25872577250364787,0.14136203401211214,1.792586910341572,0.08553080391261753,259725.0,1.014107228799692
Beaumont,TX,2004,A1,2019-09-30,36834,1.0,13907,50114.0,50821,122694.0,122613.0,7479895.0,8906372.0,17149.0,9223.0,9705.0,0.0,204326.0,263388.0,36843.0,-123743.0,176488.0,43102.0,190808.0,235247.0,-44439.0,-28671.0,754853.0,36149.0,117338,284807.0,8,0.4084470308246532,2.6487846972529843,224525.0,-0.12769624763389378,0.23289903987254204,0.22589199614271938,1.7413455146670302,0.07289784779402075,263389.0,0.9999962033342319
Beaumont,TX,2004,A1,2016-09-30,26247,1.0,11537,34512.0,35120,108410.0,112782.0,6935934.0,7776817.0,16895.0,7128.0,8536.0,0.0,221776.0,259374.0,53812.0,-64834.0,248352.0,36119.0,165233.0,184405.0,-19172.0,-2040.0,614887.0,23311.0,118535,228602.0,8,0.31834701595793746,2.275225381414702,176488.0,-0.011558859525860115,0.11603009084141788,0.21859434858654142,1.8709748175644325,0.09161899080827526,263388.0,0.9847601257460477
Boca Raton,FL,2004,Aaa,2018-09-30,50881,871.0,12503,33323.0,48232,159694.0,159178.0,22506879.0,28003531.0,13406.0,4170.0,8895.0,0.0,41770.0,356694.0,84150.0,44238.0,485082.0,6781.0,223509.0,218473.0,5036.0,5927.0,753686.0,24559.0,98249,284280.0,12,0.2086678272195574,4.374226272352132,485748.0,0.012201800110345282,-0.022531531168767254,0.030338823045157018,0.42514427627762114,0.06136227359902597,383364.0,0.9304316524243278
Boca Raton,FL,2004,Aaa,2016-09-30,54553,927.0,8627,38822.0,66394,144429.0,133869.0,19554449.0,24444217.0,12788.0,3945.0,7666.0,0.0,46960.0,346406.0,68787.0,64216.0,479409.0,5979.0,196715.0,170650.0,26065.0,31643.0,664723.0,13004.0,93530,231637.0,12,0.2687964328493585,7.084805194805194,485082.0,0.06523227000795742,-0.13250133441781256,0.030394225148056835,0.5020848925478456,0.07493700556694989,356694.0,0.9711573505581815
Boca Raton,FL,2004,Aaa,2020-09-30,66672,863.0,8431,36964.0,72401,186329.0,175720.0,25197054.0,30818384.0,10998.0,2215.0,7350.0,0.0,40647.0,352857.0,94209.0,43288.0,490354.0,19131.0,248314.0,258507.0,-10193.0,-8877.0,845932.0,19640.0,99870,331046.0,12,0.19838028433577168,8.809725158562367,479409.0,-0.018516548500341044,0.04104883333199095,0.0770435819164445,0.406999098828477,0.042544302475368174,346406.0,1.0186226566514436
Boca Raton,FL,2004,Aaa,2019-09-30,66179,897.0,13676,30383.0,63644,180381.0,167121.0,23885323.0,29348897.0,14593.0,4260.0,9230.0,0.0,48210.0,339885.0,109664.0,49682.0,499231.0,13680.0,249778.0,236947.0,12831.0,14148.0,800995.0,9697.0,99350,305314.0,12,0.16843791751902917,5.178730730104077,490354.0,0.028852624838382065,-0.05136961621920265,0.054768634547478164,0.4852541519879215,0.061587612419655026,352857.0,0.963237232079851
